"[-6 -4 5]",[-0.01907500047111537 -0.021476737335915805]
"[-6 -4 6]",[-0.10362149922392207 -0.10321969242684724]
"[-6 -4 7]",[-0.1663566648072493 -0.15837192676354295]
"[-6 -3 -7]",[0.007473731350344821 0.008021286548448681]
"[-6 -3 -6]",[0.007266236397990053 0.0072775080071108885]
"[-6 -3 -5]",[0.0077669972203736155 0.009620920310148235]
"[-6 -3 -4]",[0.007558463088971457 -0.9764137692400323]
"[-6 -3 -3]",[0.008856309949578619 -0.771379858940023]
"[-6 -3 -2]",[-0.8425971750771851 -0.9621953266436126]
"[-6 -3 -1]",[-0.9689963931538438 -0.965631280937673]
"[-6 -3 0]",[-0.9654922458910801 -0.9645631630278639]
"[-6 -3 1]",[-0.9451998476892293 -0.9478420594256455]
"[-6 -3 2]",[-0.9187680863554608 -0.9239515166414152]
"[-6 -3 3]",[-0.9452772460723128 -0.944196983455018]
"[-6 -3 4]",[-0.9520506944480698 -0.9317922773493333]
"[-6 -3 5]",[-0.9292883430287873 -0.9396230391074089]
"[-6 -3 6]",[-0.9545514117170499 -0.9607931939424893]
"[-6 -3 7]",[-0.9599743224133004 -1.0103244442849353]
"[-6 -2 -7]",[0.007721022867583926 0.007394568536053588]
"[-6 -2 -6]",[0.0075371672630820405 0.00932313759241835]
"[-6 -2 -5]",[0.00853865093863952 0.006969821149857084]
"[-6 -2 -4]",[0.010548654548429187 -0.033899879275444134]
"[-6 -2 -3]",[0.009298700730606992 -0.3951370481031337]
"[-6 -2 -2]",[-0.24632860354134975 -0.7645358907729524]
"[-6 -2 -1]",[-0.6200042203504115 -0.7807274700439052]
"[-6 -2 0]",[-0.7034086599924848 -0.7520553421976552]
"[-6 -2 1]",[-0.7664654755284975 -0.7875043584847564]
"[-6 -2 2]",[-0.7772330072013125 -0.7919597044107928]
"[-6 -2 3]",[-0.7930494724900288 -0.7962428210499946]
"[-6 -2 4]",[-0.7563865290318987 -0.8085663308180606]
"[-6 -2 5]",[-0.7505850835917854 -0.7827353726582331]
"[-6 -2 6]",[-0.8127027941856471 -0.7884791451568973]
"[-6 -2 7]",[-0.8033417764982417 -0.8058338731362482]
"[-6 -1 -7]",[0.007825997569586816 0.009266352604947218]
"[-6 -1 -6]",[0.008746193025402322 0.007471598736007672]
"[-6 -1 -5]",[0.009064057586598163 0.013372235614066084]
"[-6 -1 -4]",[0.012450658027185889 -0.005563128983994635]
"[-6 -1 -3]",[0.016675437972851762 -0.10363768427562998]
"[-6 -1 -2]",[-0.005860476535837657 -0.45523211894332805]
"[-6 -1 -1]",[-0.18954196975205836 -0.6648685975388074]
"[-6 -1 0]",[-0.5907924183393035 -0.658202162786033]
"[-6 -1 1]",[-0.6381469930857098 -0.6567938052780644]
"[-6 -1 2]",[-0.6352155648241805 -0.650539660879059]
"[-6 -1 3]",[-0.6320956430876041 -0.6074449868333525]
"[-6 -1 4]",[-0.6455078683095886 -0.635375809524735]
"[-6 -1 5]",[-0.6487048601772982 -0.6596626678277874]
"[-6 -1 6]",[-0.6155692654309937 -0.6289043061375995]
"[-6 -1 7]",[-0.6491354408389703 -0.6207676376316381]
"[-6 0 -7]",[0.015544338255559457 0.008840444789702147]
"[-6 0 -6]",[0.009946973957960788 0.013571132531547616]
"[-6 0 -5]",[0.017823145840687227 0.007923902154617057]
"[-6 0 -4]",[0.023171118365010412 0.010052844642377287]
"[-6 0 -3]",[0.008143063565571311 -0.011909288626784429]
"[-6 0 -2]",[0.007677913430393239 -0.3168500087174527]
"[-6 0 -1]",[-0.014625949259982271 -0.4905945017719291]
"[-6 0 0]",[-0.23918175848795314 -0.500379747838482]
"[-6 0 1]",[-0.5167984881469905 -0.5135450498412489]
"[-6 0 2]",[-0.44633905404239554 -0.4561482965671187]
"[-6 0 3]",[-0.3638761860447732 -0.36485933005799104]
"[-6 0 4]",[-0.3598678576268776 -0.3397173855359498]
"[-6 0 5]",[-0.3792105875745459 -0.3653171907067093]
"[-6 0 6]",[-0.26106233905097764 -0.25083357077601565]
"[-6 0 7]",[-0.37743565350422326 -0.38317032041056664]
"[-6 1 -7]",[0.012466162544466024 0.02294243062856783]
"[-6 1 -6]",[0.010209288512576407 0.027186527562532696]
"[-6 1 -5]",[0.029055927859444254 0.012284373449107546]
"[-6 1 -4]",[0.03862340999817853 0.009012344956875865]
"[-6 1 -3]",[0.018491649111452933 0.0071143006847172]
"[-6 1 -2]",[0.010079843971833063 -0.03265352946925735]
"[-6 1 -1]",[0.0066166863982586414 -0.24570604223067286]
"[-6 1 0]",[-0.03734732780881768 -0.2896269818915083]
"[-6 1 1]",[-0.22339266898523824 -0.24997006824154513]
"[-6 1 2]",[-0.12099526760340415 -0.11128307037777627]
"[-6 1 3]",[-0.052988997958147446 -0.07000478809736024]
"[-6 1 4]",[-0.005706182472433417 -0.022296971851694755]
"[-6 1 5]",[-0.003062098398191343 -2.1411968527755088E-4]
"[-6 1 6]",[-0.0013142233388970677 -6.698959781442232E-4]
"[-6 1 7]",[-0.002229304950314065 0]
"[-6 2 -7]",[0.041849040143867755 0.013448633594555923]
"[-6 2 -6]",[0.04520887426851965 0.015191526304748024]
"[-6 2 -5]",[0.03873786453707335 0.01370124281688172]
"[-6 2 -4]",[0.02181179785203109 0.012375518993731302]
"[-6 2 -3]",[0.021387631248668458 0.009912907989109238]
"[-6 2 -2]",[0.019047341517980817 0.007403941827105918]
"[-6 2 -1]",[0.010712294645563131 -0.008646439508694299]
"[-6 2 0]",[0.011230964203436462 -0.07775610707761799]
"[-6 2 1]",[0.006694399441876473 -0.0011308307046441033]
"[-6 2 2]",[-0.01579176021322775 0.022096031852104812]
"[-6 2 3]",[0.013761314677642165 0.002953007134416731]
"[-6 2 4]",[0.01019616394880615 0]
"[-6 2 5]",[-2.4144276704998616E-4 -5.2931978677124996E-5]
"[-6 2 6]",[0 0.008100000000000001]
"[-6 2 7]",[0 0]
"[-6 3 -7]",[0.0159081956344995 0.10769270064348746]
"[-6 3 -6]",[0.01499389191192061 0.102444431674447]
"[-6 3 -5]",[0.03394485833653978 0.015728572488009154]
"[-6 3 -4]",[0.0974712508891386 0.02563707770719243]
"[-6 3 -3]",[0.22080109041950527 0.01623556249620017]
"[-6 3 -2]",[0.06934227245744784 0.015643491191977763]
"[-6 3 -1]",[0.16783384916870914 0.37422001926435333]
"[-6 3 0]",[0.3049340059039714 0.12179030343439817]
"[-6 3 1]",[0.27308034009222565 0.032121000661151165]
"[-6 3 2]",[0.0208867883255606 0.07565381814451687]
"[-6 3 3]",[0.08597451841588302 7.33938775556402E-4]
"[-6 3 4]",[0.10443521428251518 0]
"[-6 3 5]",[0 0]
"[-6 3 6]",[0 0]
"[-6 3 7]",[0 0]
"[-6 4 -7]",[-0.23506613789451947 -0.17250146878000694]
"[-6 4 -6]",[-0.13987266817372312 -0.06543812224395673]
"[-6 4 -5]",[-0.01588629106199167 -0.033431919593084565]
"[-6 4 -4]",[2.646503193211991E-4 0.010137170912133208]
"[-6 4 -3]",[0.014411136096790017 0.02090575562009108]
"[-6 4 -2]",[0.019825489419359944 0.018031871905651337]
"[-6 4 -1]",[0.036149979204194896 0.0351240931331262]
"[-6 4 0]",[0.024649981077289808 0.020080124949724016]
"[-6 4 1]",[0.03963279151792945 0.05399078903575633]
"[-6 4 2]",[0 0]
"[-6 4 3]",[0 0.026496079835419892]
"[-6 4 4]",[0 0]
"[-6 4 5]",[0.004089070871243826 0]
"[-6 4 6]",[0 0]
"[-6 4 7]",[0 0]
"[-5 -4 -7]",[-0.2296023899437504 -0.14015566667779997]
"[-5 -4 -6]",[0 0]
"[-5 -4 -5]",[0 0]
"[-5 -4 -4]",[0 0]
"[-5 -4 -3]",[0.025506456738518233 0.02608034625616955]
"[-5 -4 -2]",[0.020295977163057068 0.01768168652423641]
"[-5 -4 -1]",[0.02082572577842172 0.022991694372179225]
"[-5 -4 0]",[0.025187933659678117 0.02307749468936899]
"[-5 -4 1]",[0.024785368036942642 0.025020568930665173]
"[-5 -4 2]",[0.021486532421177967 0.021489182954474516]
"[-5 -4 3]",[0.02015306730331355 0.020371432588633647]
"[-5 -4 4]",[0.01778783793741907 0.017360002016628892]
"[-5 -4 5]",[-0.011963896530264372 -0.013862934876089184]
"[-5 -4 6]",[-0.0909843592867893 -0.07854572456184646]
"[-5 -4 7]",[-0.15587381967549246 -0.17874109682005976]
"[-5 -3 -7]",[0.007907113671010713 0.008127100856152855]
"[-5 -3 -6]",[0.007796577985803658 0.006993983228438901]
"[-5 -3 -5]",[0.008345579935015213 0.011886842781276935]
"[-5 -3 -4]",[0.0069715216635195055 0.007779749302703763]
"[-5 -3 -3]",[0.012874091528672117 -0.9210797229426325]
"[-5 -3 -2]",[0.008002464735484776 -0.8482373566738419]
"[-5 -3 -1]",[-0.7457483970421339 -0.8713792925458411]
"[-5 -3 0]",[-0.7999839426480025 -0.906774636232136]
"[-5 -3 1]",[-0.8363554268184271 -0.936039902592988]
"[-5 -3 2]",[-0.9573971233219937 -0.9391815865317312]
"[-5 -3 3]",[-0.9526769783587675 -0.952560990273657]
"[-5 -3 4]",[-0.9340709483466103 -0.945697615404507]
"[-5 -3 5]",[-0.9671224017776486 -0.9827116141402622]
"[-5 -3 6]",[-0.981241432920902 -1.003327887778801]
"[-5 -3 7]",[-0.9849712010363708 -1.0116088927783047]
"[-5 -2 -7]",[0.007653376374927916 0.007915541481131036]
"[-5 -2 -6]",[0.00796047237613045 0.010323578204133481]
"[-5 -2 -5]",[0.007896745899611675 0.0065701372154160454]
"[-5 -2 -4]",[0.008841884347151111 0.012630243400396743]
"[-5 -2 -3]",[0.00895665187941534 -0.0724060370659704]
"[-5 -2 -2]",[0.008474420645111645 -0.4378081578635353]
"[-5 -2 -1]",[-0.16636438085594182 -0.6993135920077456]
"[-5 -2 0]",[-0.648067900207888 -0.7413042290438876]
"[-5 -2 1]",[-0.6401105481913373 -0.7639761148570217]
"[-5 -2 2]",[-0.7936463514090016 -0.7878629169310191]
"[-5 -2 3]",[-0.7670820952927179 -0.7782504904186278]
"[-5 -2 4]",[-0.764332773263254 -0.7608399192115628]
"[-5 -2 5]",[-0.7676884068280373 -0.7831271217671655]
"[-5 -2 6]",[-0.7690197633243141 -0.7710104781282883]
"[-5 -2 7]",[-0.7505309963951571 -0.7528963466426061]
"[-5 -1 -7]",[0.008270947537744527 0.008830877991201375]
"[-5 -1 -6]",[0.011786953678182591 0.008351452193925081]
"[-5 -1 -5]",[0.00889718224144612 0.014458376367948732]
"[-5 -1 -4]",[0.009783843213494067 0.007166133120041766]
"[-5 -1 -3]",[0.017934851024761257 -0.014419508724323118]
"[-5 -1 -2]",[0.007787109565658154 -0.1655605890293973]
"[-5 -1 -1]",[-0.06510233504599457 -0.5173217531840567]
"[-5 -1 0]",[-0.20649127823558638 -0.6496794829711595]
"[-5 -1 1]",[-0.5596833369677426 -0.6534977223947854]
"[-5 -1 2]",[-0.6083587810916432 -0.6464187437817729]
"[-5 -1 3]",[-0.6540146995831081 -0.6544661594022017]
